iter	Passed	Remaining
0	16	8278
1	26	6498
2	32	5414
3	38	4781
4	45	4500
5	51	4216
6	55	3921
7	60	3696
8	64	3538
9	69	3423
10	74	3300
11	79	3227
12	80	3017
13	85	2959
14	89	2909
15	94	2854
16	100	2854
17	105	2814
18	109	2770
19	114	2741
20	118	2706
21	122	2671
22	127	2645
23	132	2619
24	136	2597
25	141	2571
26	145	2553
27	150	2533
28	154	2512
29	159	2492
30	163	2477
31	168	2461
32	172	2444
33	177	2434
34	182	2430
35	187	2419
36	192	2406
37	197	2404
38	202	2394
39	207	2382
40	211	2372
41	216	2358
42	220	2346
43	225	2337
44	231	2339
45	236	2330
46	241	2323
47	246	2320
48	252	2320
49	257	2316
50	262	2313
51	268	2313
52	272	2302
53	278	2298
54	285	2306
55	290	2299
56	295	2295
57	301	2297
58	309	2314
59	315	2312
60	320	2309
61	326	2305
62	332	2303
63	336	2292
64	341	2282
65	347	2285
66	352	2277
67	357	2268
68	363	2268
69	368	2263
70	373	2255
71	378	2251
72	383	2244
73	388	2235
74	392	2225
75	398	2223
76	402	2213
77	407	2204
78	413	2202
79	417	2193
80	422	2184
81	427	2180
82	432	2173
83	437	2164
84	441	2157
85	447	2153
86	451	2144
87	456	2136
88	461	2132
89	466	2123
90	470	2115
91	475	2108
92	479	2099
93	484	2091
94	488	2084
95	494	2080
96	498	2072
97	503	2064
98	507	2056
99	512	2051
100	517	2044
101	522	2036
102	526	2030
103	531	2023
104	535	2015
105	540	2008
106	545	2002
107	549	1995
108	554	1987
109	558	1981
110	563	1973
111	567	1966
112	572	1959
113	577	1954
114	581	1946
115	585	1939
116	590	1933
117	595	1928
118	599	1920
119	604	1914
120	609	1908
121	613	1901
122	618	1895
123	622	1888
124	627	1882
125	631	1875
126	636	1868
127	641	1863
128	645	1856
129	650	1850
130	654	1843
131	659	1837
132	663	1831
133	668	1824
134	672	1818
135	677	1812
136	681	1805
137	686	1800
138	690	1794
139	695	1787
140	699	1782
141	704	1775
142	709	1771
143	714	1765
144	718	1759
145	723	1753
146	727	1748
147	732	1742
148	737	1736
149	742	1732
150	747	1726
151	751	1720
152	756	1715
153	761	1710
154	765	1704
155	770	1699
156	776	1695
157	780	1689
158	785	1684
159	790	1678
160	795	1674
161	799	1668
162	804	1662
163	809	1658
164	813	1652
165	818	1646
166	823	1641
167	827	1635
168	832	1629
169	836	1624
170	841	1619
171	846	1614
172	851	1609
173	856	1603
174	860	1598
175	865	1593
176	869	1587
177	875	1583
178	879	1577
179	884	1571
180	889	1567
181	893	1561
182	898	1556
183	903	1550
184	908	1546
185	912	1540
186	917	1535
187	922	1531
188	927	1526
189	932	1521
190	936	1515
191	941	1510
192	946	1505
193	950	1500
194	956	1495
195	960	1490
196	965	1484
197	970	1479
198	975	1475
199	979	1469
200	984	1465
201	990	1461
202	996	1457
203	1029	1494
204	1038	1494
205	1043	1489
206	1047	1483
207	1052	1477
208	1057	1472
209	1062	1466
210	1066	1461
211	1071	1455
212	1076	1450
213	1081	1444
214	1085	1438
215	1090	1434
216	1096	1430
217	1101	1425
218	1107	1421
219	1112	1415
220	1117	1410
221	1123	1407
222	1129	1402
223	1134	1397
224	1139	1392
225	1143	1386
226	1148	1381
227	1154	1376
228	1159	1372
229	1165	1367
230	1170	1362
231	1175	1357
232	1180	1352
233	1184	1346
234	1189	1341
235	1194	1336
236	1199	1331
237	1205	1327
238	1210	1322
239	1215	1317
240	1222	1313
241	1226	1307
242	1230	1301
243	1234	1295
244	1239	1289
245	1243	1283
246	1248	1278
247	1252	1272
248	1257	1267
249	1261	1261
250	1266	1256
251	1270	1250
252	1275	1244
253	1279	1239
254	1284	1233
255	1288	1228
256	1293	1222
257	1297	1217
258	1302	1211
259	1307	1206
260	1311	1201
261	1316	1195
262	1321	1190
263	1326	1185
264	1330	1179
265	1335	1174
266	1342	1171
267	1346	1165
268	1350	1160
269	1355	1154
270	1359	1148
271	1364	1143
272	1369	1138
273	1373	1132
274	1378	1127
275	1382	1122
276	1387	1116
277	1392	1111
278	1396	1106
279	1401	1100
280	1406	1095
281	1410	1090
282	1415	1085
283	1419	1079
284	1424	1074
285	1428	1068
286	1435	1065
287	1440	1060
288	1444	1054
289	1449	1049
290	1454	1044
291	1458	1038
292	1462	1033
293	1467	1028
294	1471	1022
295	1476	1017
296	1480	1011
297	1484	1006
298	1489	1001
299	1493	995
300	1498	990
301	1503	985
302	1507	980
303	1511	974
304	1516	969
305	1521	964
306	1525	958
307	1529	953
308	1534	948
309	1538	943
310	1543	937
311	1547	932
312	1552	927
313	1556	922
314	1561	916
315	1565	911
316	1569	906
317	1574	901
318	1578	895
319	1583	890
320	1587	885
321	1592	880
322	1597	875
323	1602	870
324	1606	865
325	1610	859
326	1615	854
327	1619	849
328	1624	844
329	1628	839
330	1633	834
331	1638	828
332	1642	823
333	1646	818
334	1651	813
335	1655	808
336	1660	802
337	1664	797
338	1668	792
339	1673	787
340	1677	782
341	1682	777
342	1686	771
343	1691	767
344	1695	761
345	1700	756
346	1704	751
347	1709	746
348	1713	741
349	1718	736
350	1722	731
351	1726	726
352	1731	720
353	1735	715
354	1740	710
355	1744	705
356	1749	700
357	1754	695
358	1760	691
359	1765	686
360	1770	681
361	1774	676
362	1779	671
363	1783	666
364	1788	661
365	1792	656
366	1796	651
367	1801	646
368	1806	641
369	1810	636
370	1815	631
371	1819	626
372	1824	621
373	1828	615
374	1833	611
375	1837	605
376	1841	600
377	1846	595
378	1850	590
379	1855	585
380	1859	580
381	1863	575
382	1868	570
383	1872	565
384	1876	560
385	1881	555
386	1885	550
387	1890	545
388	1894	540
389	1900	535
390	1904	530
391	1908	525
392	1913	520
393	1918	516
394	1922	511
395	1927	506
396	1931	501
397	1935	496
398	1940	491
399	1944	486
400	1949	481
401	1953	476
402	1957	471
403	1962	466
404	1966	461
405	1971	456
406	1975	451
407	1980	446
408	1984	441
409	1989	436
410	1993	431
411	1998	426
412	2002	421
413	2006	416
414	2011	412
415	2016	407
416	2020	402
417	2025	397
418	2029	392
419	2034	387
420	2038	382
421	2043	377
422	2047	372
423	2055	368
424	2059	363
425	2064	358
426	2068	353
427	2073	348
428	2077	343
429	2082	338
430	2086	334
431	2091	329
432	2096	324
433	2100	319
434	2104	314
435	2109	309
436	2114	304
437	2118	299
438	2122	294
439	2127	290
440	2131	285
441	2136	280
442	2140	275
443	2145	270
444	2149	265
445	2153	260
446	2158	255
447	2162	251
448	2166	246
449	2171	241
450	2175	236
451	2180	231
452	2184	226
453	2188	221
454	2193	216
455	2197	212
456	2202	207
457	2206	202
458	2212	197
459	2216	192
460	2221	187
461	2225	183
462	2229	178
463	2234	173
464	2238	168
465	2243	163
466	2247	158
467	2252	153
468	2256	149
469	2261	144
470	2265	139
471	2269	134
472	2274	129
473	2278	124
474	2282	120
475	2287	115
476	2291	110
477	2297	105
478	2301	100
479	2306	96
480	2311	91
481	2316	86
482	2321	81
483	2325	76
484	2331	72
485	2335	67
486	2340	62
487	2345	57
488	2349	52
489	2354	48
490	2359	43
491	2364	38
492	2369	33
493	2373	28
494	2380	24
495	2384	19
496	2389	14
497	2394	9
498	2400	4
499	2405	0
