iter	RMSE
0	5330.645805
1	5056.916749
2	4808.997112
3	4582.787345
4	4381.532453
5	4199.611798
6	4035.971903
7	3887.801884
8	3755.149963
9	3637.311156
10	3528.389567
11	3431.035138
12	3345.25212
13	3269.504158
14	3201.020399
15	3138.849469
16	3084.672085
17	3034.037005
18	2990.515349
19	2951.428779
20	2915.299851
21	2882.336125
22	2853.212832
23	2825.478057
24	2800.733653
25	2778.696653
26	2757.578541
27	2740.285393
28	2721.082701
29	2703.723375
30	2689.37552
31	2677.649175
32	2664.171202
33	2652.392871
34	2638.993667
35	2629.65226
36	2620.024479
37	2611.81855
38	2602.47765
39	2595.653663
40	2588.595158
41	2580.742361
42	2574.599257
43	2566.121315
44	2558.912813
45	2553.146998
46	2547.551291
47	2543.056265
48	2538.629548
49	2532.561804
50	2527.472819
51	2522.978337
52	2516.044878
53	2510.959008
54	2506.751991
55	2503.201386
56	2498.216064
57	2494.967103
58	2491.099881
59	2486.425406
60	2481.808732
61	2477.695153
62	2473.704522
63	2470.915923
64	2466.765741
65	2463.845005
66	2460.661324
67	2458.082955
68	2455.067143
69	2451.403073
70	2449.107573
71	2446.476732
72	2440.946543
73	2439.21687
74	2436.16384
75	2433.203117
76	2430.563164
77	2427.028204
78	2423.958743
79	2421.500372
80	2417.031155
81	2415.158146
82	2412.065934
83	2409.803598
84	2408.138953
85	2403.51074
86	2400.901333
87	2398.966358
88	2394.94075
89	2390.589328
90	2389.179902
91	2387.28123
92	2385.50626
93	2381.765657
94	2379.987063
95	2376.598923
96	2373.635185
97	2370.969046
98	2369.380316
99	2367.763245
100	2366.441594
101	2363.250217
102	2360.981232
103	2358.717601
104	2356.214284
105	2352.133352
106	2349.925416
107	2348.46506
108	2346.583055
109	2343.227967
110	2341.991383
111	2338.595411
112	2335.042521
113	2333.148201
114	2331.205825
115	2328.414221
116	2326.816515
117	2324.952993
118	2323.018919
119	2321.387587
120	2319.154608
121	2317.997032
122	2315.768099
123	2313.988617
124	2311.34879
125	2310.032623
126	2307.999163
127	2305.787714
128	2304.502153
129	2302.689453
130	2301.537003
131	2299.061072
132	2296.469569
133	2294.321724
134	2292.576574
135	2289.723501
136	2287.562689
137	2285.082932
138	2283.90629
139	2283.001984
140	2280.937395
141	2278.610713
142	2276.97851
143	2275.069817
144	2273.271269
145	2271.33273
146	2269.112585
147	2266.908411
148	2265.435945
149	2263.830108
150	2262.512701
151	2261.02419
152	2258.802014
153	2256.433905
154	2253.534505
155	2251.060565
156	2249.52494
157	2248.262117
158	2247.136831
159	2245.140886
160	2243.639254
161	2241.268803
162	2239.437228
163	2238.240512
164	2237.465241
165	2236.360147
166	2234.897589
167	2233.820318
168	2232.311468
169	2231.223147
170	2229.664471
171	2227.028856
172	2225.162098
173	2223.51191
174	2222.120174
175	2220.965637
176	2218.585024
177	2216.783239
178	2214.915572
179	2212.983125
180	2212.108519
181	2210.985569
182	2210.051191
183	2208.179095
184	2206.210515
185	2204.463653
186	2203.06313
187	2202.084682
188	2200.810421
189	2199.069432
190	2198.405989
191	2197.34436
192	2195.55956
193	2193.926825
194	2192.811569
195	2191.341674
196	2190.033185
197	2188.476724
198	2187.153721
199	2185.711989
200	2184.310069
201	2183.34836
202	2182.260231
203	2180.976014
204	2179.746945
205	2178.166872
206	2177.090902
207	2176.086411
208	2174.587642
209	2173.207369
210	2172.416906
211	2171.471223
212	2170.835917
213	2168.856218
214	2167.733942
215	2165.399887
216	2163.794594
217	2162.219484
218	2161.143487
219	2159.419575
220	2157.935212
221	2156.987104
222	2155.23364
223	2154.298597
224	2153.064676
225	2151.60056
226	2150.478273
227	2149.621636
228	2148.035836
229	2146.889178
230	2145.293425
231	2144.343336
232	2142.714554
233	2141.320692
234	2140.521714
235	2139.258699
236	2137.978545
237	2137.017152
238	2135.952561
239	2135.277969
240	2134.642969
241	2133.3519
242	2132.42447
243	2130.75096
244	2129.544888
245	2128.463011
246	2127.142835
247	2126.319069
248	2124.510968
249	2123.874736
250	2123.022756
251	2121.627918
252	2120.193021
253	2119.485875
254	2118.719465
255	2117.884232
256	2116.919933
257	2116.278049
258	2115.32674
259	2114.598029
260	2113.328356
261	2112.382249
262	2111.06647
263	2110.292822
264	2109.499069
265	2107.994606
266	2107.263871
267	2106.733277
268	2106.016816
269	2104.850894
270	2104.012341
271	2102.730464
272	2101.680459
273	2101.230947
274	2099.766477
275	2098.537424
276	2097.394982
277	2096.730909
278	2096.048226
279	2095.318167
280	2094.608247
281	2093.704872
282	2092.284958
283	2091.481945
284	2090.579891
285	2090.158626
286	2089.09239
287	2088.188219
288	2087.171646
289	2086.268368
290	2085.551094
291	2084.574156
292	2083.994282
293	2083.183675
294	2082.423289
295	2081.398945
296	2081.019832
297	2080.321835
298	2079.267239
299	2078.386577
300	2077.51781
301	2076.343738
302	2075.261545
303	2073.95191
304	2073.300224
305	2072.753061
306	2071.723304
307	2071.144028
308	2070.44048
309	2069.76612
310	2069.07927
311	2067.701687
312	2066.670951
313	2065.735025
314	2065.190529
315	2064.360052
316	2063.456775
317	2062.369618
318	2061.783421
319	2061.043493
320	2060.601985
321	2059.843102
322	2058.928796
323	2057.955226
324	2057.371965
325	2056.646483
326	2056.154873
327	2055.652939
328	2055.210454
329	2054.641266
330	2053.432921
331	2052.960401
332	2052.178101
333	2050.765611
334	2050.125982
335	2049.406647
336	2048.830379
337	2048.065455
338	2046.913496
339	2045.528403
340	2044.84192
341	2043.775525
342	2043.044564
343	2042.497372
344	2041.710511
345	2040.860602
346	2040.303314
347	2039.603934
348	2038.410181
349	2037.844504
350	2037.149895
351	2036.182148
352	2035.770146
353	2034.819083
354	2034.194725
355	2033.593265
356	2033.057383
357	2032.41659
358	2031.636934
359	2030.527403
360	2029.875971
361	2029.02628
362	2028.180498
363	2027.588021
364	2027.035384
365	2026.394054
366	2025.405524
367	2024.796983
368	2023.723531
369	2023.160315
370	2022.520696
371	2021.851173
372	2021.121495
373	2020.683878
374	2019.978195
375	2019.469131
376	2018.019383
377	2017.569393
378	2016.969008
379	2016.220056
380	2015.540969
381	2014.983825
382	2014.188013
383	2013.313207
384	2012.177451
385	2011.516454
386	2010.702638
387	2010.125247
388	2009.716566
389	2009.383927
390	2009.129313
391	2008.632594
392	2008.057711
393	2007.39865
394	2006.982786
395	2006.506032
396	2006.060641
397	2005.734605
398	2005.01497
399	2004.695829
400	2003.914122
401	2003.576752
402	2003.282983
403	2002.616634
404	2002.150447
405	2001.578977
406	2000.998295
407	2000.383662
408	1999.598127
409	1999.173738
410	1998.801316
411	1998.447254
412	1998.124274
413	1997.909824
414	1997.197239
415	1996.78644
416	1996.372412
417	1995.378795
418	1994.862603
419	1994.566819
420	1994.045989
421	1993.503154
422	1992.633487
423	1992.27709
424	1991.751674
425	1990.766216
426	1990.226663
427	1989.113156
428	1988.57133
429	1988.064937
430	1987.140458
431	1986.324347
432	1985.854355
433	1985.385166
434	1984.931669
435	1984.179192
436	1983.676212
437	1983.090632
438	1982.725659
439	1982.262664
440	1981.609613
441	1980.906801
442	1980.484607
443	1979.942113
444	1978.774064
445	1978.110181
446	1977.863054
447	1976.936388
448	1976.314834
449	1975.922615
450	1975.257606
451	1974.910055
452	1974.506285
453	1974.232724
454	1973.871752
455	1973.538277
456	1973.094772
457	1972.511633
458	1972.197746
459	1971.738768
460	1971.040289
461	1970.423386
462	1969.769112
463	1969.240836
464	1968.469399
465	1968.237571
466	1967.862502
467	1967.447221
468	1966.817484
469	1966.149602
470	1965.497811
471	1964.888207
472	1964.605738
473	1964.189025
474	1963.880276
475	1963.395874
476	1963.023271
477	1962.51405
478	1961.689479
479	1961.168806
480	1960.961743
481	1960.395032
482	1959.90538
483	1959.54086
484	1959.096476
485	1958.662006
486	1958.243416
487	1957.913061
488	1957.283873
489	1957.014986
490	1956.07759
491	1955.386576
492	1954.831543
493	1954.032116
494	1953.453931
495	1953.083107
496	1952.638837
497	1952.204573
498	1951.69976
499	1951.259229
500	1950.765055
501	1949.783462
502	1948.256428
503	1947.61404
504	1946.818339
505	1946.470499
506	1946.077269
507	1945.378845
508	1944.698393
509	1944.294243
510	1943.954031
511	1943.631224
512	1942.977191
513	1942.243658
514	1941.687405
515	1941.282947
516	1940.460432
517	1940.10324
518	1939.549444
519	1939.251007
520	1938.416315
521	1938.01728
522	1937.658728
523	1936.940841
524	1936.637486
525	1936.293458
526	1935.741994
527	1934.920956
528	1934.458507
529	1933.98791
530	1933.585861
531	1932.930724
532	1932.758651
533	1932.182759
534	1931.245718
535	1930.727855
536	1930.251723
537	1929.757624
538	1929.149792
539	1928.886457
540	1928.152501
541	1927.605796
542	1927.110612
543	1926.785762
544	1926.218201
545	1925.655166
546	1925.22557
547	1924.772349
548	1924.4525
549	1923.980128
550	1923.641108
551	1923.295546
552	1922.787183
553	1922.255363
554	1921.997732
555	1921.488786
556	1920.958527
557	1920.688109
558	1920.195864
559	1919.7819
560	1919.422726
561	1919.112514
562	1918.566669
563	1917.84877
564	1917.430754
565	1917.176668
566	1916.581179
567	1915.818925
568	1915.504431
569	1914.998903
570	1914.646471
571	1914.396568
572	1913.744332
573	1913.166219
574	1912.7794
575	1912.629858
576	1912.17988
577	1911.578995
578	1911.197433
579	1910.975115
580	1910.385732
581	1910.064571
582	1909.826362
583	1909.357056
584	1909.045039
585	1908.647622
586	1908.337442
587	1907.830379
588	1907.370396
589	1906.966867
590	1906.243005
591	1905.828622
592	1905.292789
593	1904.864972
594	1904.275279
595	1903.913373
596	1903.289152
597	1902.973236
598	1902.294739
599	1901.684011
600	1901.278718
601	1900.729694
602	1900.203104
603	1899.52398
604	1899.037962
605	1898.53402
606	1898.182715
607	1897.790338
608	1897.360237
609	1897.086503
610	1896.69179
611	1896.439574
612	1896.003979
613	1895.454148
614	1895.082445
615	1894.486685
616	1894.173387
617	1893.774384
618	1893.538433
619	1893.00204
620	1892.678657
621	1892.264336
622	1891.939802
623	1891.592792
624	1891.035091
625	1890.808524
626	1890.41665
627	1890.124284
628	1889.738895
629	1889.559096
630	1889.140043
631	1888.824239
632	1888.184377
633	1887.743649
634	1887.392512
635	1887.136913
636	1886.85424
637	1886.574151
638	1886.192115
639	1885.454884
640	1885.066208
641	1884.741122
642	1883.960372
643	1883.390098
644	1882.97316
645	1882.589938
646	1882.284056
647	1881.896833
648	1881.415327
649	1880.912228
650	1880.511752
651	1880.017901
652	1879.691955
653	1879.1992
654	1878.734736
655	1878.32965
656	1877.597528
657	1877.271888
658	1876.940964
659	1876.701094
660	1876.35989
661	1876.04658
662	1875.619557
663	1875.233716
664	1875.013766
665	1874.712559
666	1874.464722
667	1874.006347
668	1873.799058
669	1873.424517
670	1873.221137
671	1873.000261
672	1872.674627
673	1872.466691
674	1871.97635
675	1871.768791
676	1871.336002
677	1870.878509
678	1870.521202
679	1870.190937
680	1869.682717
681	1869.267202
682	1868.831691
683	1868.548223
684	1868.270188
685	1868.007225
686	1867.823456
687	1867.239123
688	1866.920064
689	1866.494829
690	1866.012529
691	1865.576158
692	1865.131929
693	1864.597309
694	1864.174321
695	1863.932199
696	1863.524201
697	1863.178378
698	1862.829532
699	1862.443013
700	1862.03146
701	1861.812828
702	1861.399841
703	1861.149512
704	1860.76058
705	1860.564707
706	1860.300283
707	1859.420391
708	1859.057942
709	1858.86139
710	1858.153628
711	1857.862147
712	1857.576496
713	1857.069546
714	1856.7198
715	1856.521672
716	1856.177996
717	1855.892211
718	1855.719008
719	1855.457409
720	1854.984372
721	1854.762278
722	1854.134254
723	1853.780972
724	1853.49171
725	1853.336182
726	1853.074896
727	1852.733534
728	1852.491505
729	1852.225441
730	1851.929514
731	1851.416619
732	1851.101923
733	1850.943863
734	1850.734846
735	1850.409852
736	1850.164331
737	1849.780754
738	1849.375752
739	1848.823569
740	1848.394563
741	1848.148251
742	1847.811784
743	1847.606359
744	1847.191614
745	1846.775019
746	1846.433757
747	1846.151779
748	1845.822384
749	1845.452162
750	1845.122672
751	1844.392592
752	1844.085584
753	1843.799752
754	1843.478888
755	1843.269017
756	1842.932184
757	1842.665484
758	1842.413427
759	1842.2847
760	1842.055143
761	1841.494679
762	1841.365417
763	1840.829807
764	1839.984658
765	1839.549705
766	1839.276106
767	1839.040339
768	1838.764027
769	1838.234515
770	1837.898852
771	1837.651324
772	1837.315651
773	1837.10203
774	1836.995541
775	1836.666527
776	1836.220163
777	1836.090816
778	1835.718844
779	1835.490333
780	1835.082937
781	1834.713581
782	1834.446075
783	1834.323215
784	1833.895616
785	1833.682311
786	1833.345464
787	1832.987726
788	1832.777804
789	1832.50198
790	1832.277423
791	1831.684162
792	1831.476683
793	1831.252633
794	1830.982875
795	1830.569611
796	1830.24847
797	1830.014982
798	1829.426473
799	1829.237339
800	1828.840902
801	1828.543674
802	1828.262287
803	1827.979301
804	1827.496342
805	1826.907796
806	1826.57161
807	1826.369158
808	1826.105538
809	1825.735032
810	1825.377298
811	1824.756786
812	1824.55511
813	1824.249657
814	1823.894556
815	1823.560546
