iter	Passed	Remaining
0	61	61593
1	64	31949
2	66	22068
3	68	17149
4	72	14334
5	74	12311
6	76	10844
7	78	9761
8	81	8920
9	83	8237
10	86	7753
11	88	7319
12	90	6884
13	92	6510
14	94	6205
15	96	5944
16	98	5708
17	100	5488
18	102	5304
19	104	5143
20	107	4993
21	109	4849
22	110	4713
23	113	4596
24	114	4484
25	116	4378
26	118	4286
27	120	4199
28	122	4116
29	124	4035
30	126	3962
31	128	3898
32	130	3832
33	132	3767
34	134	3713
35	137	3671
36	139	3621
37	140	3568
38	142	3520
39	144	3478
40	146	3433
41	148	3390
42	150	3350
43	152	3320
44	154	3285
45	156	3252
46	159	3224
47	160	3190
48	162	3158
49	164	3129
50	166	3098
51	168	3070
52	170	3045
53	172	3025
54	174	3001
55	176	2980
56	178	2958
57	180	2934
58	182	2912
59	184	2890
60	186	2874
61	188	2856
62	190	2835
63	192	2816
64	194	2796
65	196	2777
66	198	2758
67	200	2741
68	202	2730
69	204	2719
70	206	2705
71	209	2695
72	211	2683
73	213	2668
74	215	2652
75	216	2636
76	219	2626
77	221	2614
78	223	2602
79	225	2589
80	227	2578
81	229	2567
82	231	2556
83	233	2545
84	235	2539
85	238	2535
86	240	2522
87	242	2511
88	244	2499
89	246	2489
90	248	2479
91	250	2470
92	252	2465
93	254	2457
94	256	2448
95	258	2438
96	260	2428
97	262	2418
98	264	2410
99	267	2405
100	269	2399
101	271	2392
102	273	2383
103	275	2372
104	277	2361
105	278	2352
106	280	2343
107	282	2335
108	285	2332
109	287	2329
110	290	2323
111	291	2314
112	293	2305
113	295	2297
114	297	2288
115	299	2281
116	301	2278
117	304	2273
118	306	2266
119	307	2258
120	309	2250
121	311	2245
122	314	2239
123	316	2235
124	319	2233
125	321	2231
126	323	2225
127	325	2219
128	328	2215
129	330	2212
130	333	2209
131	335	2208
132	338	2203
133	340	2199
134	342	2195
135	345	2192
136	347	2188
137	351	2192
138	353	2192
139	356	2188
140	358	2181
141	360	2177
142	362	2172
143	364	2165
144	366	2161
145	368	2157
146	370	2151
147	372	2146
148	375	2141
149	376	2135
150	378	2130
151	380	2123
152	383	2120
153	385	2115
154	387	2111
155	389	2106
156	391	2100
157	393	2094
158	395	2090
159	397	2085
160	399	2081
161	401	2077
162	403	2071
163	405	2065
164	407	2059
165	408	2054
166	410	2048
167	412	2042
168	414	2037
169	416	2032
170	418	2026
171	419	2021
172	421	2015
173	423	2010
174	425	2005
175	427	1999
176	428	1993
177	430	1987
178	432	1983
179	434	1978
180	435	1972
181	437	1967
182	439	1962
183	441	1957
184	443	1952
185	445	1948
186	446	1942
187	448	1939
188	450	1935
189	453	1931
190	454	1925
191	456	1920
192	458	1917
193	460	1912
194	462	1908
195	464	1903
196	466	1900
197	467	1895
198	469	1890
199	471	1885
200	473	1881
201	474	1876
202	476	1872
203	478	1867
204	480	1862
205	482	1859
206	485	1859
207	487	1856
208	489	1851
209	491	1847
210	492	1843
211	494	1839
212	496	1835
213	499	1833
214	501	1830
215	503	1828
216	505	1825
217	507	1821
218	509	1816
219	511	1812
220	513	1809
221	515	1806
222	517	1804
223	519	1800
224	521	1796
225	523	1791
226	524	1787
227	526	1783
228	528	1779
229	531	1777
230	533	1774
231	535	1772
232	537	1769
233	539	1765
234	541	1763
235	543	1759
236	545	1755
237	547	1753
238	550	1751
239	552	1748
240	553	1744
241	555	1740
242	557	1736
243	559	1732
244	561	1728
245	562	1725
246	565	1722
247	567	1719
248	569	1716
249	570	1712
250	572	1708
251	574	1704
252	576	1701
253	578	1698
254	580	1695
255	582	1692
256	584	1689
257	586	1687
258	588	1683
259	590	1681
260	592	1678
261	594	1675
262	597	1673
263	599	1670
264	601	1667
265	603	1664
266	605	1660
267	606	1657
268	608	1654
269	610	1651
270	612	1647
271	614	1645
272	616	1642
273	618	1638
274	620	1635
275	622	1631
276	623	1627
277	625	1624
278	627	1621
279	629	1618
280	631	1615
281	633	1611
282	634	1608
283	636	1605
284	638	1601
285	640	1598
286	642	1595
287	643	1591
288	645	1589
289	647	1586
290	649	1583
291	651	1579
292	653	1576
293	655	1573
294	657	1570
295	658	1567
296	660	1563
297	662	1560
298	664	1557
299	666	1554
300	667	1550
301	669	1547
302	671	1544
303	673	1541
304	675	1538
305	676	1535
306	678	1532
307	680	1529
308	682	1526
309	684	1523
310	686	1520
311	687	1516
312	689	1513
313	691	1511
314	693	1507
315	695	1505
316	697	1502
317	699	1499
318	700	1496
319	702	1493
320	704	1490
321	706	1487
322	708	1484
323	710	1481
324	712	1479
325	714	1476
326	715	1473
327	717	1470
328	719	1467
329	721	1464
330	723	1462
331	725	1458
332	726	1456
333	729	1453
334	731	1451
335	733	1448
336	735	1446
337	736	1443
338	738	1440
339	740	1437
340	742	1435
341	744	1432
342	746	1430
343	748	1427
344	750	1424
345	752	1421
346	754	1419
347	756	1416
348	757	1413
349	759	1410
350	761	1408
351	763	1405
352	765	1402
353	766	1399
354	768	1396
355	770	1393
356	772	1390
357	774	1388
358	776	1385
359	778	1383
360	779	1380
361	781	1377
362	783	1374
363	785	1371
364	786	1369
365	788	1366
366	790	1363
367	792	1360
368	794	1358
369	796	1355
370	797	1352
371	799	1350
372	801	1347
373	803	1344
374	805	1341
375	807	1339
376	808	1336
377	810	1333
378	812	1331
379	814	1328
380	815	1325
381	817	1323
382	819	1320
383	821	1318
384	823	1315
385	825	1312
386	827	1310
387	829	1307
388	830	1305
389	832	1302
390	834	1299
391	836	1297
392	838	1294
393	840	1291
394	841	1289
395	843	1286
396	845	1284
397	847	1281
398	849	1278
399	851	1276
400	852	1274
401	854	1271
402	856	1268
403	858	1266
404	860	1263
405	862	1261
406	863	1258
407	866	1256
408	867	1253
409	869	1251
410	871	1249
411	873	1246
412	875	1244
413	877	1242
414	879	1240
415	881	1237
416	883	1235
417	885	1232
418	887	1230
419	889	1227
420	891	1225
421	893	1223
422	895	1221
423	898	1220
424	900	1217
425	902	1215
426	903	1212
427	905	1210
428	907	1208
429	909	1205
430	911	1203
431	914	1202
432	916	1200
433	918	1198
434	920	1195
435	922	1193
436	924	1191
437	926	1189
438	928	1187
439	931	1185
440	933	1183
441	935	1180
442	937	1178
443	939	1176
444	942	1174
445	944	1173
446	946	1171
447	949	1169
448	951	1167
449	953	1165
450	955	1163
451	957	1160
452	960	1159
453	962	1157
454	964	1155
455	966	1153
456	968	1151
457	970	1148
458	972	1146
459	975	1144
460	977	1143
461	979	1140
462	981	1138
463	983	1136
464	986	1134
465	988	1132
466	990	1130
467	992	1128
468	994	1126
469	997	1125
470	1000	1123
471	1002	1121
472	1004	1119
473	1006	1117
474	1009	1115
475	1011	1113
476	1014	1112
477	1028	1123
478	1040	1131
479	1054	1142
480	1056	1140
481	1063	1143
482	1066	1141
483	1068	1139
484	1070	1136
485	1072	1134
486	1074	1131
487	1076	1129
488	1078	1126
489	1079	1124
490	1081	1121
491	1083	1119
492	1085	1116
493	1087	1113
494	1089	1111
495	1091	1109
496	1094	1107
497	1096	1105
498	1098	1103
499	1101	1101
500	1102	1098
501	1104	1095
502	1106	1093
503	1109	1091
504	1111	1089
505	1113	1087
506	1116	1085
507	1118	1083
508	1120	1081
509	1122	1078
510	1124	1076
511	1127	1074
512	1129	1072
