iter	Passed	Remaining
0	5	5942
1	8	4392
2	11	3720
3	13	3385
4	16	3191
5	18	3018
6	20	2929
7	23	2869
8	25	2811
9	27	2766
10	30	2713
11	32	2681
12	35	2665
13	37	2641
14	39	2626
15	42	2610
16	44	2596
17	48	2625
18	50	2626
19	54	2675
20	57	2677
21	59	2666
22	62	2665
23	65	2661
24	67	2643
25	70	2628
26	72	2615
27	74	2597
28	77	2586
29	79	2571
30	81	2562
31	84	2549
32	86	2535
33	88	2527
34	91	2516
35	93	2506
36	95	2493
37	98	2491
38	100	2483
39	103	2473
40	105	2467
41	107	2462
42	110	2456
43	112	2446
44	115	2440
45	117	2434
46	119	2426
47	121	2418
48	124	2412
49	126	2409
50	129	2403
51	131	2403
52	134	2399
53	136	2392
54	138	2384
55	141	2377
56	143	2373
57	145	2369
58	148	2365
59	150	2362
60	152	2354
61	155	2348
62	157	2344
63	159	2338
64	162	2334
65	165	2336
66	167	2328
67	169	2325
68	172	2322
69	174	2317
70	177	2317
71	181	2344
72	185	2358
73	188	2352
74	190	2350
75	193	2347
76	196	2351
77	199	2354
78	201	2348
79	204	2348
80	206	2346
81	209	2343
82	213	2359
83	216	2360
84	219	2357
85	221	2356
86	224	2353
87	226	2350
88	229	2352
89	232	2351
90	234	2347
91	237	2345
92	239	2340
93	242	2339
94	245	2335
95	247	2333
96	250	2335
97	253	2337
98	256	2334
99	258	2328
100	261	2324
101	263	2319
102	265	2313
103	268	2310
104	270	2305
105	272	2300
106	274	2295
107	277	2291
108	279	2286
109	281	2281
110	284	2276
111	286	2271
112	288	2266
113	291	2261
114	293	2256
115	295	2252
116	297	2248
117	300	2244
118	302	2240
119	304	2235
120	307	2230
121	309	2226
122	311	2221
123	313	2218
124	316	2214
125	318	2209
126	321	2206
127	323	2205
128	326	2201
129	328	2196
130	330	2193
131	332	2188
132	334	2183
133	337	2180
134	339	2176
135	342	2175
136	345	2173
137	347	2169
138	349	2166
139	352	2162
140	354	2157
141	356	2154
142	359	2152
143	361	2151
144	364	2147
145	366	2143
146	368	2139
147	371	2138
148	373	2133
149	375	2129
150	378	2128
151	381	2126
152	383	2122
153	385	2117
154	387	2114
155	390	2110
156	392	2107
157	394	2103
158	397	2100
159	399	2095
160	401	2093
161	404	2090
162	406	2086
163	408	2083
164	411	2081
165	413	2077
166	415	2073
167	418	2071
168	420	2067
169	422	2065
170	425	2062
171	428	2061
172	430	2060
173	433	2056
174	435	2053
175	437	2050
176	440	2046
177	442	2043
178	445	2042
179	447	2039
180	449	2035
181	452	2033
182	454	2030
183	456	2026
184	459	2022
185	461	2021
186	464	2018
187	466	2014
188	468	2010
189	470	2006
190	472	2003
191	475	1999
192	477	1997
193	480	1995
194	482	1993
195	484	1989
196	487	1987
197	490	1984
198	492	1981
199	494	1979
200	497	1976
201	499	1973
202	502	1970
203	504	1968
204	506	1965
205	509	1962
206	511	1959
207	514	1957
208	516	1954
209	518	1951
210	521	1948
211	523	1944
212	525	1941
213	528	1940
214	530	1938
215	533	1935
216	535	1932
217	537	1929
218	539	1925
219	542	1922
220	544	1920
221	547	1917
222	549	1913
223	551	1911
224	553	1908
225	556	1905
226	558	1902
227	561	1900
228	563	1897
229	565	1894
230	568	1892
231	570	1889
232	573	1886
233	575	1882
234	577	1880
235	579	1876
236	582	1873
237	584	1870
238	587	1869
239	589	1866
240	591	1863
241	593	1860
242	596	1857
243	598	1854
244	601	1852
245	603	1849
246	605	1846
247	608	1843
248	610	1841
249	612	1838
250	615	1835
251	617	1832
252	619	1830
253	622	1827
254	624	1825
255	627	1823
256	629	1821
257	632	1818
258	634	1815
259	636	1812
260	639	1810
261	641	1807
262	644	1805
263	646	1802
264	648	1799
265	651	1796
266	653	1793
267	655	1791
268	658	1789
269	661	1789
270	665	1789
271	667	1787
272	670	1784
273	672	1781
274	674	1779
275	677	1778
276	680	1775
277	682	1772
278	684	1769
279	687	1767
280	689	1764
281	692	1762
282	694	1759
283	697	1757
284	699	1755
285	701	1752
286	704	1749
287	706	1746
288	708	1743
289	711	1741
290	713	1738
291	715	1735
292	718	1733
293	720	1730
294	722	1727
295	725	1724
296	727	1721
297	729	1719
298	732	1716
299	734	1714
300	737	1711
301	740	1711
302	742	1708
303	745	1705
304	747	1702
305	749	1700
306	751	1697
307	754	1695
308	756	1692
309	759	1690
310	761	1687
311	763	1684
312	766	1681
313	768	1678
314	770	1675
315	773	1673
316	775	1670
317	777	1668
318	780	1665
319	782	1662
320	784	1659
321	787	1657
322	789	1654
323	791	1651
324	794	1649
325	796	1646
326	798	1644
327	801	1642
328	803	1639
329	806	1637
330	808	1634
331	810	1631
332	813	1628
333	815	1625
334	817	1622
335	820	1620
336	822	1618
337	824	1615
338	827	1612
339	829	1610
340	832	1608
341	834	1605
342	836	1602
343	839	1600
344	841	1598
345	844	1595
346	846	1593
347	848	1590
348	851	1587
349	853	1585
350	855	1582
351	858	1579
352	860	1577
353	863	1575
354	865	1572
355	867	1569
356	870	1567
357	872	1564
358	874	1562
359	877	1559
360	879	1557
361	882	1554
362	884	1552
363	886	1549
364	889	1546
365	891	1544
366	893	1541
367	896	1539
368	898	1536
369	901	1534
370	903	1531
371	905	1529
372	908	1526
373	910	1524
374	913	1521
375	915	1518
376	917	1516
377	919	1513
378	922	1511
379	924	1509
380	927	1506
381	929	1503
382	931	1501
383	933	1498
384	936	1495
385	938	1493
386	941	1490
387	943	1488
388	945	1485
389	948	1483
390	950	1480
391	953	1478
392	955	1475
393	958	1473
394	960	1470
395	962	1468
396	964	1465
397	967	1462
398	969	1460
399	971	1457
400	974	1455
401	976	1452
402	978	1450
403	981	1447
404	983	1445
405	985	1442
406	988	1440
407	991	1438
408	993	1435
409	996	1433
410	998	1431
411	1001	1429
412	1003	1426
413	1005	1423
414	1008	1421
415	1011	1419
416	1013	1416
417	1015	1414
418	1018	1411
419	1020	1409
420	1022	1406
421	1025	1403
422	1027	1401
423	1029	1398
424	1032	1396
425	1034	1393
426	1036	1390
427	1038	1388
428	1041	1386
429	1043	1383
430	1046	1380
431	1048	1378
432	1051	1376
433	1053	1373
434	1055	1371
435	1058	1368
436	1060	1366
437	1062	1363
438	1065	1361
439	1067	1358
440	1070	1356
441	1072	1353
442	1074	1351
443	1076	1348
444	1079	1346
445	1081	1343
446	1084	1341
447	1086	1339
448	1089	1337
449	1092	1335
450	1095	1333
451	1097	1330
452	1100	1328
453	1102	1326
454	1105	1324
455	1108	1321
456	1111	1320
457	1114	1318
458	1117	1316
459	1120	1314
460	1122	1312
461	1125	1310
462	1127	1307
463	1130	1305
464	1133	1303
465	1135	1301
466	1138	1299
467	1141	1297
468	1143	1294
469	1146	1293
470	1149	1291
471	1152	1288
472	1154	1286
473	1157	1283
474	1159	1281
475	1162	1279
476	1164	1277
477	1167	1274
478	1169	1272
479	1172	1269
480	1174	1267
481	1176	1264
482	1179	1262
483	1181	1259
484	1184	1257
485	1186	1254
486	1189	1252
487	1191	1249
488	1193	1247
489	1196	1244
490	1198	1242
491	1200	1239
492	1202	1236
493	1205	1234
494	1207	1231
495	1209	1229
496	1211	1226
497	1213	1223
498	1216	1220
499	1218	1218
500	1220	1215
501	1222	1212
502	1224	1210
503	1227	1207
504	1229	1205
505	1231	1202
506	1234	1200
507	1236	1197
508	1239	1195
509	1241	1192
510	1243	1189
511	1245	1187
512	1247	1184
513	1250	1182
514	1253	1180
515	1256	1178
516	1258	1175
517	1260	1172
518	1262	1170
519	1264	1167
520	1267	1164
521	1269	1162
522	1271	1159
523	1273	1157
524	1276	1154
525	1278	1151
526	1280	1149
527	1282	1146
528	1284	1143
529	1287	1141
530	1289	1139
531	1291	1136
532	1294	1133
533	1296	1131
534	1298	1128
535	1301	1126
536	1303	1124
537	1305	1121
538	1308	1118
539	1310	1116
540	1312	1113
541	1315	1111
542	1317	1108
543	1319	1106
544	1322	1103
545	1324	1101
546	1326	1098
547	1329	1096
548	1331	1093
549	1333	1091
550	1336	1089
551	1339	1086
552	1341	1084
553	1343	1081
554	1346	1079
555	1348	1077
556	1351	1074
557	1353	1072
558	1355	1069
559	1358	1067
560	1360	1064
561	1362	1062
562	1365	1059
563	1367	1056
564	1369	1054
565	1371	1051
566	1374	1049
567	1376	1047
568	1379	1044
569	1381	1042
570	1383	1039
571	1386	1037
572	1388	1034
573	1391	1032
574	1393	1029
575	1395	1027
576	1397	1024
577	1399	1022
578	1402	1019
579	1404	1017
580	1407	1015
581	1409	1012
582	1412	1010
583	1414	1007
584	1416	1005
585	1419	1002
586	1421	1000
587	1423	997
588	1425	994
589	1428	992
590	1430	989
591	1432	987
592	1435	985
593	1437	982
594	1440	980
595	1442	977
596	1444	975
597	1448	973
598	1450	971
599	1454	969
600	1456	966
601	1458	964
602	1461	961
603	1463	959
604	1465	956
605	1468	954
606	1470	952
607	1473	949
608	1475	947
609	1478	944
610	1480	942
611	1483	940
612	1485	937
613	1487	935
614	1490	932
615	1492	930
616	1494	927
617	1497	925
618	1499	923
619	1501	920
620	1504	918
621	1506	915
622	1509	913
623	1511	910
624	1514	908
625	1516	905
626	1518	903
627	1521	901
628	1523	898
629	1525	896
630	1527	893
631	1530	891
632	1532	888
633	1535	886
634	1537	883
635	1540	881
636	1542	878
637	1544	876
638	1546	873
639	1550	871
640	1552	869
641	1554	866
642	1556	864
643	1559	861
644	1561	859
645	1563	856
646	1565	854
647	1568	852
648	1570	849
649	1572	846
650	1575	844
651	1577	841
652	1579	839
653	1582	837
654	1584	834
655	1587	832
656	1589	829
657	1591	827
658	1593	824
659	1595	822
660	1598	819
661	1601	817
662	1603	815
663	1605	812
664	1608	810
665	1610	807
666	1612	805
667	1614	802
668	1617	800
669	1619	797
670	1622	795
671	1624	792
672	1626	790
673	1629	788
674	1631	785
675	1634	783
676	1636	780
677	1639	778
678	1641	775
679	1643	773
680	1645	770
681	1648	768
682	1650	766
683	1653	763
684	1655	761
685	1657	758
686	1660	756
687	1662	753
688	1664	751
689	1667	749
690	1669	746
691	1671	744
692	1674	741
693	1676	739
694	1679	736
695	1681	734
696	1684	732
697	1686	729
698	1688	727
699	1691	724
700	1693	722
701	1696	719
702	1698	717
703	1701	715
704	1703	712
705	1705	710
706	1707	707
707	1710	705
708	1712	702
709	1714	700
710	1716	697
711	1719	695
712	1721	692
713	1723	690
714	1726	687
715	1728	685
716	1730	683
717	1733	681
718	1736	678
719	1738	675
720	1740	673
721	1743	671
722	1745	668
723	1747	666
724	1750	663
725	1752	661
726	1755	659
727	1757	656
728	1760	654
729	1762	651
730	1765	649
731	1767	647
732	1770	644
733	1772	642
734	1775	640
735	1777	637
736	1779	635
737	1782	632
738	1784	630
739	1786	627
740	1788	625
741	1791	622
742	1793	620
743	1795	617
744	1798	615
745	1801	613
746	1803	610
747	1805	608
748	1808	606
749	1810	603
750	1813	601
751	1816	598
752	1818	596
753	1820	594
754	1822	591
755	1825	589
756	1827	586
757	1830	584
758	1832	581
759	1835	579
760	1837	577
761	1839	574
762	1842	572
763	1844	569
764	1846	567
765	1849	564
766	1851	562
767	1854	560
768	1856	557
769	1858	555
770	1861	552
771	1863	550
772	1866	548
773	1868	545
774	1870	543
775	1873	540
776	1875	538
777	1877	535
778	1880	533
779	1882	531
780	1884	528
781	1887	526
782	1889	523
783	1892	521
784	1894	518
785	1897	516
786	1899	514
787	1901	511
788	1903	509
789	1906	506
790	1908	504
791	1910	501
792	1913	499
793	1915	497
794	1918	494
795	1920	492
796	1923	489
797	1925	487
798	1927	484
799	1930	482
800	1932	480
801	1934	477
802	1937	475
803	1939	472
804	1941	470
805	1943	467
806	1946	465
807	1949	463
808	1951	460
809	1953	458
810	1955	455
811	1958	453
812	1960	450
813	1963	448
814	1965	446
815	1967	443
816	1970	441
817	1972	438
818	1974	436
819	1977	434
820	1980	431
821	1982	429
822	1984	426
823	1987	424
824	1989	422
825	1991	419
826	1993	417
827	1996	414
828	1998	412
829	2000	409
830	2003	407
831	2005	404
832	2007	402
833	2010	400
834	2012	397
835	2015	395
836	2017	392
837	2019	390
838	2022	388
839	2024	385
840	2026	383
841	2029	380
842	2031	378
843	2033	375
844	2036	373
845	2038	371
846	2041	368
847	2043	366
848	2046	363
849	2048	361
850	2050	359
851	2053	356
852	2055	354
853	2057	351
854	2060	349
855	2062	346
856	2064	344
857	2067	342
858	2069	339
859	2072	337
860	2074	334
861	2076	332
862	2079	330
863	2082	327
864	2084	325
865	2086	322
866	2088	320
867	2091	318
868	2093	315
869	2096	313
870	2098	310
871	2101	308
872	2103	306
873	2106	303
874	2108	301
875	2110	298
876	2112	296
877	2115	293
878	2117	291
879	2119	289
880	2122	286
881	2124	284
882	2127	281
883	2129	279
884	2131	277
885	2134	274
886	2136	272
887	2139	269
888	2141	267
889	2143	264
890	2146	262
891	2148	260
892	2151	257
893	2153	255
894	2156	252
895	2158	250
896	2160	248
897	2163	245
898	2165	243
899	2167	240
900	2170	238
901	2172	236
902	2174	233
903	2177	231
904	2179	228
905	2182	226
906	2184	223
907	2186	221
908	2189	219
909	2191	216
